torneo,fecha,date,local,visitante,resultado
Apertura 08,9,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,9,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,9,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,9,10/08/2008,Boca,Gimnasia (J),4 - 0
Apertura 08,9,10/08/2008,San Lorenzo,Tigre,0 - 1
Apertura 08,9,10/08/2008,Racing,LanÃºs,0 - 2
Apertura 08,10,08/08/2008,San MartÃ­n (T),HuracÃ¡n,2 - 0
Apertura 08,10,08/08/2008,Gimnasia LP,Newell's,0 - 1
Apertura 08,10,09/08/2008,Arsenal,Argentinos,3 - 0
Apertura 08,10,09/08/2008,Banfield,Godoy Cruz,1 - 2
Apertura 08,10,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,10,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,10,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,10,10/08/2008,Boca,Gimnasia (J),4 - 0
Apertura 08,10,10/08/2008,San Lorenzo,Tigre,0 - 1
Apertura 08,10,10/08/2008,Racing,LanÃºs,0 - 2
Apertura 08,11,08/08/2008,San MartÃ­n (T),HuracÃ¡n,2 - 0
Apertura 08,11,08/08/2008,Gimnasia LP,Newell's,0 - 1
Apertura 08,11,09/08/2008,Arsenal,Argentinos,3 - 0
Apertura 08,11,09/08/2008,Banfield,Godoy Cruz,1 - 2
Apertura 08,11,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,11,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,11,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,11,10/08/2008,Boca,Gimnasia (J),4 - 0
Apertura 08,11,10/08/2008,San Lorenzo,Tigre,0 - 1
Apertura 08,11,10/08/2008,Racing,LanÃºs,0 - 2
Apertura 08,12,08/08/2008,San MartÃ­n (T),HuracÃ¡n,2 - 0
Apertura 08,12,08/08/2008,Gimnasia LP,Newell's,0 - 1
Apertura 08,12,09/08/2008,Arsenal,Argentinos,3 - 0
Apertura 08,12,09/08/2008,Banfield,Godoy Cruz,1 - 2
Apertura 08,12,09/08/2008,Central,Estudiantes LP,3 - 2
Apertura 08,12,09/08/2008,VÃ©lez,Independiente,0 - 0
Apertura 08,12,10/08/2008,ColÃ³n,River,1 - 1
Apertura 08,12,10/08/2008,Boca,Gimnasia (J),4 - 0
Apertura 08,12,10/08/2008,San Lorenzo,Tigre,0 - 1
Apertura 08,12,10/08/2008,Racing,LanÃºs,0 - 2
Apertura 08,13,08/08/2008,San MartÃ­n (T),HuracÃ¡n,2 - 0
Apertura 08,13,08/08/2008,Gimnasia LP,Newell's,0 - 1
Apertura 08,13,09/08/2008,Arsenal,Argentinos,3 - 0
Apertura 08,13,09/08/2008,Banfield,Godoy Cruz,1 - 2
Apertura 08,13,09/08/2008,Central,Estudiantes LP,3 - 2
